Date,Source,Site ID,POC,Coconcentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
03/17/2023,AQS,360610135,1,0.4,ppm,5,CCNY,18,75,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/18/2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/19/2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/20/2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/21/2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/22/2023,AQS,360610135,1,0.3,ppm,3,CCNY,18,75,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/23/2023,AQS,360610135,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/24/2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/25/2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/26/2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/27/2023,AQS,360610135,1,0.5,ppm,6,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/28/2023,AQS,360610135,1,0.3,ppm,3,CCNY,18,75,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/29/2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/30/2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
03/31/2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-01-2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-02-2023,AQS,360610135,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-03-2023,AQS,360610135,1,0.3,ppm,3,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-04-2023,AQS,360610135,1,0.6,ppm,7,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-05-2023,AQS,360610135,1,0.4,ppm,5,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-06-2023,AQS,360610135,1,0.5,ppm,6,CCNY,18,75,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
04-07-2023,AQS,360610135,1,0.2,ppm,2,CCNY,24,100,42101,Carbon monoxide,35620,"New York-Newark-Jersey City, NY-NJ-PA",36,New York,61,New York,40.81976,-73.94825
